id	va	changed_accesses	native_graph	retail_full	retail_summary
src/SOURCE/ARMY.cpp:army::SpellCastWorkChance(SpellType spell)#1	0x00420595	8	PASS	False	?SpellCastWorkChance@army@@QAEMH@Z bytes True size 1884 1884 DIR32 sites True ordered target errors [('0x2a', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x83', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0xe6', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x100', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x13d', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x175', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x19f', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x1c8', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x206', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x226', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x292', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x2c7', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x2ed', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x307', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x327', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x347', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x39c', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x3ce', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x406', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x438', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x46a', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x49c', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x4d4', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x512', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x5b8', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x645', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x6c7', '__real@4@00000000000000000000', '0x0', '0xea520', None), ('0x74a', '__real@4@3ffec000000000000000', '0x0', '0xea51c', None), ('0x752', '__real@4@3fff8000000000000000', '0x0', '0xea518', None)]
src/SOURCE/ARMY.cpp:army::MidX(void)#1	0x0042118f	1	PASS	True	?MidX@army@@QAEHXZ bytes True size 87 87 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::OtherArmyAdjacent(CombatSide side,i32 index)#1	0x004213bc	2	PASS	True	?OtherArmyAdjacent@army@@QAEHHH@Z bytes True size 310 310 DIR32 sites True ordered target errors []
src/SOURCE/CMBTMGR.cpp:combatManager::UpdateArmyGroup(CombatSide side)#1	0x004271ad	3	PASS	True	?UpdateArmyGroup@combatManager@@QAEXH@Z bytes True size 705 705 DIR32 sites True ordered target errors []
src/SOURCE/CMBTMGR.cpp:combatManager::CheckApplyGoodMorale(CombatSide side,i32 index)#1	0x0042848f	4	PASS	True	?CheckApplyGoodMorale@combatManager@@QAEXHH@Z bytes True size 442 442 DIR32 sites True ordered target errors []
src/SOURCE/CMBTMGR.cpp:combatManager::CheckApplyBadMorale(CombatSide side,i32 index)#1	0x00428649	2	PASS	True	?CheckApplyBadMorale@combatManager@@QAEHHH@Z bytes True size 374 374 DIR32 sites True ordered target errors []
src/SOURCE/CMBTMGR.cpp:combatManager::GetNextArmy(i32 checkMorale)#1	0x004287bf	5	PASS	True	?GetNextArmy@combatManager@@QAEHH@Z bytes True size 837 837 DIR32 sites True ordered target errors []
src/SOURCE/CMBTMGR.cpp:combatManager::IsWinner(CombatSide side)#1	0x00428b04	1	PASS	True	?IsWinner@combatManager@@QAEHH@Z bytes True size 180 180 DIR32 sites True ordered target errors []
src/SOURCE/CMBTMGR.cpp:combatManager::KeepAttack(CombatTowerSelector tower)#1	0x00429990	2	PASS	True	?KeepAttack@combatManager@@QAEXH@Z bytes True size 1634 1634 DIR32 sites True ordered target errors []
src/SOURCE/CMBTMGR.cpp:combatManager::ExperienceValueOfStack(CombatSide side)#1	0x00429ff2	1	PASS	True	?ExperienceValueOfStack@combatManager@@QAEHH@Z bytes True size 296 296 DIR32 sites True ordered target errors []
src/SOURCE/CMBTMGR.cpp:combatManager::MakeCreaturesVanish(void)#1	0x0042a62e	1	PASS	False	?MakeCreaturesVanish@combatManager@@QAEXXZ bytes True size 611 611 DIR32 sites True ordered target errors [('0x233', '__real@4@40069600000000000000', '0x0', '0xea4f8', None)]
