# homm2 retained match maxima by normalized function source hash.
# Observational only; never an enforcement baseline.
# Updated by `homm2 status update` and `homm2 build`; do not hand-edit.
# unit<TAB>fn<TAB>max_fuzzy<TAB>src_hash
BASE/Bzip	?initialiseCRC@@YIXXZ	100.0000	35ca93bac60b
BASE/Bzip	?ioError@@YIXXZ	100.0000	7a22c8503ec0
BASE/Bzip	?loadAndRLEsource@@YIHPAU_iobuf@@@Z	100.0000	cbee43190319
BASE/Bzip	?minUInt32@@YIIII@Z	100.0000	6c29c5359bc3
BASE/Bzip	?moveToFrontCodeAndSend@@YIXPAUBitStream@@H@Z	97.7097	9edebac42f38
BASE/Bzip	?mySIGSEGVorSIGBUScatcher@@YIXPAH@Z	100.0000	0c8edb967eec
BASE/Bzip	?mySignalCatcher@@YAXPAH@Z	100.0000	97c4ed3cd0a0
BASE/Bzip	?panic@@YIXPAD@Z	100.0000	2dcea8a12e1e
BASE/Bzip	?putInt32@@YIXPAUBitStream@@H@Z	100.0000	1a1e7be637fb
BASE/Bzip	?putSymbol@@YIXPAUModel@@HPAUBitStream@@@Z	100.0000	5d5684b78945
BASE/Bzip	?putUChar@@YIXPAUBitStream@@E@Z	100.0000	111692507871
BASE/Bzip	?putUInt32@@YIXPAUBitStream@@I@Z	100.0000	9c6ace1ed5c6
BASE/Bzip	?qsortFull@@YIXHH@Z	98.8732	ee595d49e5ff
BASE/Bzip	?sendMTFVal@@YIXPAUBitStream@@H@Z	100.0000	366120648b04
BASE/Bzip	?sendZeroes@@YIXPAUBitStream@@H@Z	100.0000	bba29ba16ea1
BASE/Bzip	?setDecompressStructureSizes@@YIXH@Z	100.0000	ba64a3b12c91
BASE/Bzip	?setGlobalCRC@@YIXI@Z	100.0000	f002f4d25ba8
BASE/Bzip	?shellTrivial@@YIXXZ	99.5556	a9905d4e7ae3
BASE/Bzip	?showFileNames@@YIXXZ	100.0000	b7596b5af6b6
BASE/Bzip	?sortIt@@YIXXZ	99.1146	86b464a7aa19
BASE/Bzip	?spotBlock@@YIXH@Z	100.0000	5a1507d6fec4
BASE/Bzip	?stripe@@YIXXZ	100.0000	4899829b3123
BASE/Bzip	?trivialGt@@YIHHH@Z	98.8966	dc68be63565a
BASE/Bzip	?unRLEandDump@@YIXPAU_iobuf@@H@Z	99.7273	d8b9ef4234a6
BASE/Bzip	?unblockError@@YIXXZ	100.0000	2dcecff11866
BASE/Bzip	?uncompress@@YIXPAD@Z	99.9405	3a521d6cac5d
BASE/Bzip	?uncompressOutOfMemory@@YIXHH@Z	100.0000	e2f320d206f3
BASE/Bzip	?uncompressStream@@YIHPAU_iobuf@@0@Z	99.7484	16bd0a1f0d63
BASE/Bzip	?undoReversibleTransformation@@YIXXZ	100.0000	546d126c47a7
BASE/Bzip	?updateModel@@YIXPAUModel@@H@Z	98.8302	87503babf80b
BASE/DIMMER	??0dimmerWidget@@QAE@FFFFFF@Z	100.0000	c4161c61650b
BASE/DIMMER	??0dimmerWidget@@QAE@XZ	100.0000	e9d1ac65ab8d
BASE/DIMMER	?Draw@dimmerWidget@@UAEXXZ	100.0000	676f6134e914
BASE/DIMMER	?Main@dimmerWidget@@UAEHAAUtag_message@@@Z	100.0000	b656f5bf840b
BASE/DIMMER	?Read@dimmerWidget@@QAEXXZ	100.0000	6f5615b307cf
BASE/EXEC	??0executive@@QAE@XZ	100.0000	52274ee35993
BASE/EXEC	?AddManager@executive@@QAEHPAVbaseManager@@H@Z	100.0000	1023633078ab
BASE/EXEC	?CallManager@executive@@QAEXPAVbaseManager@@@Z	100.0000	ca44ff04aa17
BASE/EXEC	?DoDialog@executive@@QAEHPAVbaseManager@@@Z	99.4375	629ac50ef233
