# SEH unwind funclets (destructor-call handlers of EH-compiled
# TUs). Names are the analysis placeholders until each funclet
# is attributed to its parent function. Generated by
# `homm2 audit unmatched-census --write-config`.
entry_rva,size,name
0xe8ce5,11,Unwind@004e8ce5
0xe8cf0,11,Unwind@004e8cf0
0xe8cfb,11,Unwind@004e8cfb
0xe8d06,11,Unwind@004e8d06
0xe8d11,11,Unwind@004e8d11
0xe8d26,14,Unwind@004e8d26
0xe8d34,14,Unwind@004e8d34
0xe8d42,14,Unwind@004e8d42
0xe8d50,14,Unwind@004e8d50
0xe8d5e,14,Unwind@004e8d5e
0xe8d6c,14,Unwind@004e8d6c
0xe8d7a,14,Unwind@004e8d7a
0xe8d88,14,Unwind@004e8d88
0xe8da0,11,Unwind@004e8da0
0xe8db5,14,Unwind@004e8db5
0xe8dc3,14,Unwind@004e8dc3
0xe8dd1,14,Unwind@004e8dd1
0xe8ddf,14,Unwind@004e8ddf
0xe8df7,11,Unwind@004e8df7
0xe8e0c,11,Unwind@004e8e0c
0xe8e21,14,Unwind@004e8e21
0xe8e2f,14,Unwind@004e8e2f
0xe8e3d,14,Unwind@004e8e3d
0xe8e4b,14,Unwind@004e8e4b
0xe8e59,14,Unwind@004e8e59
0xe8e67,14,Unwind@004e8e67
0xe8e75,14,Unwind@004e8e75
0xe8e90,11,Unwind@004e8e90
0xe8e9b,11,Unwind@004e8e9b
0xe8eb0,11,Unwind@004e8eb0
0xe8ed0,14,Unwind@004e8ed0
0xe8ef0,11,Unwind@004e8ef0
0xe8efb,14,Unwind@004e8efb
0xe8f09,14,Unwind@004e8f09
0xe8f21,11,Unwind@004e8f21
0xe8f40,11,Unwind@004e8f40
0xe8f4b,11,Unwind@004e8f4b
0xe8f56,11,Unwind@004e8f56
0xe8f70,12,Unwind@004e8f70
0xe8f90,11,Unwind@004e8f90
0xe8fb0,11,Unwind@004e8fb0
0xe8fd0,11,Unwind@004e8fd0
0xe8ff0,11,Unwind@004e8ff0
0xe9010,11,Unwind@004e9010
0xe9030,11,Unwind@004e9030
0xe9050,11,Unwind@004e9050
0xe9070,11,Unwind@004e9070
0xe9090,11,Unwind@004e9090
0xe90b0,11,Unwind@004e90b0
0xe90d0,11,Unwind@004e90d0
0xe90f0,11,Unwind@004e90f0
0xe90fb,11,Unwind@004e90fb
0xe9106,11,Unwind@004e9106
0xe9111,11,Unwind@004e9111
0xe911c,11,Unwind@004e911c
0xe9127,11,Unwind@004e9127
0xe9132,11,Unwind@004e9132
0xe913d,11,Unwind@004e913d
0xe9148,14,Unwind@004e9148
0xe9156,14,Unwind@004e9156
0xe9164,14,Unwind@004e9164
0xe9172,14,Unwind@004e9172
0xe9190,11,Unwind@004e9190
0xe91b0,9,Unwind@004e91b0
0xe91d0,9,Unwind@004e91d0
0xe91f0,9,Unwind@004e91f0
0xe9210,11,Unwind@004e9210
0xe9230,11,Unwind@004e9230
0xe9250,14,Unwind@004e9250
0xe925e,14,Unwind@004e925e
0xe9280,9,Unwind@004e9280
0xe92a0,9,Unwind@004e92a0
0xe92c0,9,Unwind@004e92c0
0xe92e0,9,Unwind@004e92e0
0xe9300,9,Unwind@004e9300
0xe9320,9,Unwind@004e9320
0xe9340,9,Unwind@004e9340
0xe9360,9,Unwind@004e9360
0xe9380,9,Unwind@004e9380
0xe93a0,9,Unwind@004e93a0
0xe93c0,9,Unwind@004e93c0
0xe93e0,14,Unwind@004e93e0
0xe9400,11,Unwind@004e9400
0xe9420,9,Unwind@004e9420
0xe9429,11,Unwind@004e9429
0xe9434,9,Unwind@004e9434
0xe9450,9,Unwind@004e9450
0xe9470,9,Unwind@004e9470
0xe9479,12,Unwind@004e9479
0xe9485,12,Unwind@004e9485
0xe94a0,9,Unwind@004e94a0
0xe94c0,9,Unwind@004e94c0
0xe94e0,9,Unwind@004e94e0
0xe9500,9,Unwind@004e9500
0xe9520,9,Unwind@004e9520
0xe9540,9,Unwind@004e9540
0xe9560,11,Unwind@004e9560
0xe9580,9,Unwind@004e9580
0xe95a0,9,Unwind@004e95a0
0xe95c0,9,Unwind@004e95c0
0xe95e0,9,Unwind@004e95e0
0xe9600,9,Unwind@004e9600
