domain	owner	storage	start	size	kind	identity	provenance
text	SOURCE/AI	text	0xc3468	0x182	function	?AttemptAdjacentAttack@combatManager@@QAEHPAVarmy@@@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc35ea	0x240	function	?WalkTowardArmyFront@combatManager@@QAEHPAVarmy@@HH@Z	retained-or-recovered-procedure
text	SOURCE/AI	text	0xc382a	0x244	function	?WalkTowardArmy@combatManager@@QAEHPAVarmy@@HH@Z	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a6e	0x6	function	_GetVersionExA@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a74	0x6	function	_GetLastError@0	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a7a	0x6	function	_CreateEventA@16	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a80	0x6	function	_GetTickCount@0	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a86	0x6	function	_GetProcAddress@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a8c	0x6	function	_LoadLibraryA@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a92	0x6	function	_FreeLibrary@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a98	0x6	function	_SetCommTimeouts@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3a9e	0x6	function	_SetCommState@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3aa4	0x6	function	_SetupComm@12	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3aaa	0x6	function	_GetCommTimeouts@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ab0	0x6	function	_GetCommState@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ab6	0x6	function	_CreateFileA@28	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3abc	0x6	function	_CloseHandle@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ac2	0x6	function	_ReadFile@20	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ac8	0x6	function	_ClearCommError@12	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ace	0x6	function	_ClearCommBreak@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ad4	0x6	function	_Sleep@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ada	0x6	function	_SetCommBreak@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ae0	0x6	function	_GetCommModemStatus@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3ae6	0x6	function	_WriteFile@20	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3aec	0x6	function	_FindClose@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3af2	0x6	function	_FindNextFileA@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3af8	0x6	function	_FindFirstFileA@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3afe	0x6	function	_InitializeCriticalSection@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3b04	0x6	function	_DeleteCriticalSection@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3b0a	0x6	function	_LeaveCriticalSection@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3b10	0x6	function	_EnterCriticalSection@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3b16	0x6	function	_SetEvent@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3b1c	0x6	function	_ResetEvent@4	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3b22	0x6	function	_WaitForSingleObject@8	retained-or-recovered-procedure
text	KERNEL32.dll	text	0xc3b28	0x6	function	_WaitForMultipleObjects@16	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b2e	0x6	function	_WaitMessage@0	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b34	0x6	function	_DispatchMessageA@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b3a	0x6	function	_TranslateMessage@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b40	0x6	function	_PeekMessageA@20	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b46	0x6	function	_MessageBoxA@16	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b4c	0x6	function	_SetCursor@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b52	0x6	function	_LoadCursorA@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b58	0x6	function	_SetWindowLongA@12	retained-or-recovered-procedure
