# Generated by `homm2 audit version-delta`; do not hand-edit.
# /home/sheep/Projects/homm2/homm2-buka/build/orig/HMM2PL.exe vs /home/sheep/Projects/homm2/homm2-decomp/build/orig/HEROES2W.EXE
# CANDIDATES, not findings: VC 4.2 and VC6 disagree about inlining
# and constant chunking, so read both bodies before writing a row
# into docs/version-changes.md.
# added/removed are from Buka's side: 'added' is in 2.1 only.
channels	unit	symbol	lead	transition	buka_size	pol_size	size_delta	calls_added	calls_removed	convention	strings_buka	strings_pol	constants_added	constants_removed
calls,strings,constants	SOURCE/ADVMGR	?QuickInfo@advManager@@QAEXHH@Z	parity-gap	od-od	0x1047	0x133e	-759	sprintf			(Óæå ïîñåùåíî)x10 (Ýòî ìåñòî åùå íå ïîñåùåíî)x10 Íåèçâåñòíîx2 +6	(already visited)x10 (not visited)x10 %s %sx2 +6	0xffffx11 0xffx9 0x7x5 0x0x2 0x1x2 0xcx2 +6	0x3 0x10 0x1d 0x1e 0x2b 0x1fc +3
calls,strings,constants	SOURCE/ADVMGR	?SetEnvironmentOrigin@advManager@@QAEXHHH@Z	parity-gap	od-od	0x2b6	0x338	-130	?StopSample@soundManager@@?XPAVsample@@@Zx2 ?ModifySample@soundManager@@?XPAVsample@@H@Z	?LogInt@@?XPADHHHHHHH@Zx2 ?StopSample@soundManager@@?XPAU_SAMPLE@@@Zx2 ?ModifySample@soundManager@@?XPAU_SAMPLE@@FJ@Z			SEO a SEO b	0x1x5	0xfffffc19x12 0x0 0x64
calls,strings,constants	SOURCE/ADVMGR	?SystemOptionsHandler@@YIHAAUtag_message@@@Z	parity-gap	od-od	0x575	0x672	-253	?CDStartup@soundManager@@?_NXZ ?GetMusicFlagA@@?EXZ ?MusicFlagsActive@@?EXZ ?StartupMilesBackend@soundManager@@?_NXZ	?CDStartup@soundManager@@?XXZ ?MIDIStartup@soundManager@@?XXZ ?NormalDialog@@?XPADHHHHHHHHH@Z		Íåâîçìîæíî óñòàíîâèòü âîñïðîèçâåäåíèå CD ìóçûêè. Âàø ïðèâîä CD, âîçìîæíî, èñïîëüçóåòñÿ äðóãîé ïðîãðàììîé èëè äðàéâåð çâóêà íå ïîääåðæèâàåò âîñïðîèçâåäåíèå CD ñòåðåî çâóêà. Öèôðîâàÿ ìóçûêà íå äîñòóïíà â ýòîé ñèñòåìå. Ýòà ñèñòåìà íå ïîçâîëÿåò ïðîèãðûâàòü MIDI è Redbook ìóçûêó.	Digital sound is not currently available on this system. Neither MIDI nor Redbook music is currently available on this system. Unable to set up CD stereo music.  Your CD player might be in use by another program, or your sound driver might not support CD stereo. +1	0xffx7 0x1x4 0xa 0xc 0x2c 0x200 +1	0x0x6 0x46x4 0x2 0x98 0x24e90046 0xb8c10046 +1
calls,strings,constants	SOURCE/ARMY	?DoAttack@army@@QAEXH@Z	open-both	od-od	0x13f6	0x1267	399	?MemorySample@soundManager@@?XPAVsample@@@Z strcpy	?MemorySample@soundManager@@?PAU_SAMPLE@@PAVsample@@@Z		Àòàêàx2 åä. óðîíàx2 íàíîñèòx2 +7	damagex2 doesx2 %s %s %d %s. +6	0x62x17 0x1x8 0x50x7 0x20x5 0x58x3 0x61x3 +17	0x3x5 0x4x4 0x6x2 0x354fx2 0x0 0x18 +5
calls,strings,constants	SOURCE/ARMY	?DoHydraAttack@army@@QAEXH@Z	open-both	od-od	0x583	0x4e7	156	?MemorySample@soundManager@@?XPAVsample@@@Z	?MemorySample@soundManager@@?PAU_SAMPLE@@PAVsample@@@Z		Àòàêàx2 åä. óðîíàx2 íàíîñèòx2 +5	damagex2 doesx2 %s %s %d %s. +4	0x50x7 0x1x2 0x62x2 0x1c 0x20 0x28 +9	0x4x4 0x3x2 0x6 0x18 0x24 0xfc +1
calls,strings,constants	SOURCE/ARMY	?SpecialAttack@army@@QAEXXZ	open-both	od-od	0x165f	0x14aa	437	?MemorySample@soundManager@@?XPAVsample@@@Zx2 $alt_CIatan $alt_CIsqrt strcpy	?MemorySample@soundManager@@?PAU_SAMPLE@@PAVsample@@@Zx2 atan sqrt		Àòàêàx2 åä. óðîíàx2 íàíîñèòx2 +4	damagex2 doesx2 %s %s %d %s. +3	0x1x20 0x62x13 0x20x4 0x14x2 0x50x2 0x58x2 +19	0x3x4 0x0x2 0x2x2 0x6x2 0xdx2 0x354fx2 +5
calls,strings,constants	SOURCE/CMBTMGR	?Open@combatManager@@UAEHH@Z	parity-gap	od-od	0x427	0x43f	-24	?PlayAmbientMusic@soundManager@@?XH@Z	?PlayAmbientMusic@soundManager@@?XHJH@Z			Op2 Op3 Op4 +1	0x1x2 0xffffffffx2 0x2 0x30	0x24
calls,strings,constants	SOURCE/CMBTMGR	?ShootMissile@combatManager@@QAEXHHHHPAMPAVicon@@@Z	open-both	od-od	0x4e0	0x52e	-78	$alt_CIatan $alt_CIsqrt	atan sqrt		¸ÈÀN		0x1x10 0x88 0xffffffff	0x0x2 0xd 0x80
calls,strings,constants	SOURCE/CURSOR	?ProcessMapChange@advManager@@QAEXUSMapChange@@@Z	parity-gap	od-od	0xb2	0x74f	-1693		?LogInt@@?XPADHHHHHHH@Zx7 ?CompleteDraw@advManager@@?XH@Zx6 ?UpdateScreen@advManager@@?XHH@Zx6 ?SetHeroContext@advManager@@?XHH@Zx2 sprintfx2 ?ClaimMine@game@@?XHH@Z +9			%s has been vanquished! Data miscommunication in hero position, first %d, %d, second %d, %d.  Please give Phil a copy of  your Autosave and, if possible, instructions to recreate this error Dead Player +9	0x38 0xfa 0xff 0x11b	0xfffffc19x36 0x0x23 0x1x10 0x2x7 0x3x4 0x27c4x4 +15
calls,strings,constants	SOURCE/Campaign	?ShowCampaignInfo@game@@QAEXHH@Z	parity-gap	od-od	0x40a	0x48d	-131		?BroadcastMessage@heroWindow@@?HAAUtag_message@@@Z		¸(ÀN Âû äåéñòâèòåëüíî õîòèòå íà÷àòü ñíà÷àëà ñöåíàðèé?	Are you sure you want to restart this scenario?	0x34x3 0xffx2 0xffffffffx2 0x1 0x18 0x54	0x2x3 0x6x2 0x0 0x16 0x48 0x386
calls,strings,constants	SOURCE/Castle	?CastleHandler@@YIHAAUtag_message@@@Z	open-both	od-od	0x979	0xca3	-810		sub_141e76c sub_e98aec85		Íåëüçÿ ïîñòðîèòü. Âû óæå ñòðîèëè çäåñü â ýòîì õîäó.	Cannot build.  Already built here this turn.	0xfax2 0x1 0xa 0x200 0x385 0x386 +1	0x41x4 0x5050505x4 0x8x2 0x8080805x2 0x0 0x2 +6
