unit	name	pol_rva	gold_va	size	moved	shape	witness	verdict	remap
BASE/Bzip	?getRLEpair@@YIHPAU_iobuf@@@Z	0xd6f40	0x4d5480	348	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0xc->-0x4
BASE/Bzip	?loadAndRLEsource@@YIHPAU_iobuf@@@Z	0xd70a0	0x4d55e0	491	4	multi-cycle 2+2	n/a	unproven	-0x4->-0x8 -0x8->-0x4 -0xc->-0x10 -0x10->-0xc
BASE/Bzip	?unRLEandDump@@YIXPAU_iobuf@@H@Z	0xd7290	0x4d57d0	397	6	6-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0x1c -0xc->-0x18 -0x10->-0xc -0x18->-0x4 -0x1c->-0x10
BASE/Bzip	?uncompressStream@@YIHPAU_iobuf@@0@Z	0xd7710	0x4d5c10	622	10	10-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x20 -0x8->-0x1c -0xc->-0x14 -0x10->-0x18 -0x14->-0x28 -0x18->-0x8 -0x1c->-0xc -0x20->-0x10 -0x24->-0x4 -0x28->-0x24
BASE/Bzip	?compress@@YIXPAD@Z	0xd7d60	0x4d61a0	226	3	3-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
BASE/Bzip	?uncompress@@YIXPAD@Z	0xd7e50	0x4d6290	272	3	3-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x10 -0xc->-0x4 -0x10->-0xc
BASE/FONT	??0font@@QAE@K@Z	0xc6fd0	0x4cf680	200	2	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x10->-0x14 -0x14->-0x4
BASE/RESMGR	?GetSample@resourceManager@@QAEPAVsample@@PAD@Z	0xc8570	0x4ccfd0	157	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0x4
BASE/RESMGR	?Expunge@resourceManager@@QAEXXZ	0xc87a0	0x4cd200	139	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
BASE/RESMGR	?LoadAggregateHeader@resourceManager@@QAEHPAD@Z	0xc8ab0	0x4cd510	323	3	3-cycle	n/a	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
BASE/RESMGR	?PointToFile@resourceManager@@QAEXK@Z	0xc8c00	0x4cd660	284	4	4-cycle	n/a	identifiers-differ	-0x4->-0xc -0x8->-0x10 -0xc->-0x8 -0x10->-0x4
BASE/RESMGR	?GetFileSize@resourceManager@@QAEKK@Z	0xc8d20	0x4cd780	250	4	multi-cycle 2+2	n/a	identifiers-differ	-0x4->-0xc -0x8->-0x10 -0xc->-0x4 -0x10->-0x8
BASE/RESMGR	?ReadWord@resourceManager@@QAEFXZ	0xc8f70	0x4cd940	132	4	multi-cycle 2+2	n/a	unproven	-0x4->-0x8 -0x8->-0x4 -0xc->-0x10 -0x10->-0xc
BASE/RESMGR	?ReadLong@resourceManager@@QAEJXZ	0xc9000	0x4cd9d0	132	4	multi-cycle 2+2	n/a	unproven	-0x4->-0x8 -0x8->-0x4 -0xc->-0x10 -0x10->-0xc
BASE/RESMGR	?ReadBlock@resourceManager@@QAEXPACK@Z	0xc91b0	0x4cdb80	189	2	swap (2-cycle)	n/a	unproven	-0x8->-0xc -0xc->-0x8
BASE/WINDOW	?MoveWindow@heroWindow@@QAEXHH@Z	0xcf950	0x4cc970	390	6	6-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x18 -0x8->-0xc -0xc->-0x10 -0x10->-0x14 -0x14->-0x4 -0x18->-0x8
EDITOR/mapcell	?GetNewCellExtraIndex@fullMap@@QAEHXZ	0xb266	0x46f8d0	304	3	3-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
EDITOR/mapcell	?Read@fullMap@@QAEXHH@Z	0xb7da	0x46fe60	661	3	3-cycle	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x8->-0x10 -0xc->-0x8 -0x10->-0xc
EDITOR/mapcell	?ChangeTilesetIndex@fullMap@@QAEXPAVmapCell@@HHHHHH@Z	0xba6f	0x470100	746	2	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x8->-0xc -0xc->-0x10
SOURCE/ADVMGR	?Open@advManager@@UAEHH@Z	0x5665f	0x442fc0	2505	4	multi-cycle 2+2	n/a	unproven	-0x4->-0x10 -0x8->-0xc -0xc->-0x8 -0x10->-0x4
SOURCE/ADVMGR	?CheckSetEvilInterface@advManager@@QAEXHH@Z	0x57bdb	0x444550	401	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x14->-0x18 -0x18->-0x1c -0x1c->-0x20 -0x20->-0x4
SOURCE/ADVMGR	?ProcessSearch@advManager@@QAEHHH@Z	0x5a07c	0x4469e0	1480	5	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x14 -0x24->-0x10 -0x28->-0x8 -0x2c->-0xc -0x30->-0x4
SOURCE/ADVMGR	?UpdateHeroLocator@advManager@@QAEXHHH@Z	0x60465	0x44cd30	840	10	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x8 -0x8->-0x10 -0x18->-0x20 -0x1c->-0x24 -0x20->-0x28 -0x24->-0xc -0x28->-0x4 -0x30->-0x34 -0x34->-0x38 -0x38->-0x30
SOURCE/ADVMGR	?UpdBottomViewResMsg@advManager@@QAEHXZ	0x61716	0x44dfe0	863	4	multi-cycle 2+2	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x18 -0xc->-0x10 -0x10->-0xc -0x18->-0x4
SOURCE/ADVMGR	?DemobilizeCurrHero@advManager@@QAEXXZ	0x63f95	0x450880	364	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/ADVMGR	?SetTownContext@advManager@@QAEXH@Z	0x64101	0x4509f0	535	2	swap (2-cycle)	n/a	unproven	-0x4->-0xc -0xc->-0x4
SOURCE/ADVMGR	?SetHeroContext@advManager@@QAEXHH@Z	0x64318	0x450c10	914	4	4-cycle	n/a	unproven	-0x4->-0xc -0x8->-0x10 -0xc->-0x8 -0x10->-0x4
SOURCE/ADVMGR	?SaveGame@@YIHXZ	0x64e9f	0x451750	588	6	reshuffle (uses unreferenced slots)	n/a	unproven	-0x10->-0x1c -0x14->-0x4 -0x18->-0x20 -0x1c->-0x24 -0x20->-0xc -0x24->-0x8
SOURCE/ADVMGR	?DimensionDoorHandler@@YIHAAUtag_message@@@Z	0x65191	0x451a50	796	3	3-cycle	n/a	unproven	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/ADVMGR	?TeleportTo@advManager@@QAEXPAVhero@@HHHH@Z	0x6712a	0x453a20	1039	3	reshuffle (uses unreferenced slots)	n/a	reorder-reachable	-0x4->-0xc -0x8->-0x4 -0xc->-0x14
SOURCE/ADVMGR	?DimensionDoor@advManager@@QAEXXZ	0x67539	0x453e30	507	4	multi-cycle 2+2	n/a	identifiers-differ	-0x4->-0x8 -0x8->-0x4 -0x10->-0x14 -0x14->-0x10
SOURCE/ADVMGR	?ShowRoute@advManager@@QAEXHHH@Z	0x68247	0x454b50	1241	14	multi-cycle 7+4+3	n/a	identifiers-differ	-0x4->-0xc -0x8->-0x4 -0xc->-0x8 -0x10->-0x20 -0x14->-0x10 -0x18->-0x24 -0x1c->-0x34 -0x20->-0x2c -0x24->-0x30 -0x28->-0x1c -0x2c->-0x14 -0x30->-0x38 -0x34->-0x18 -0x38->-0x28
SOURCE/ADVMGR	?CheckScreenScroll@advManager@@QAEXXZ	0x68c5c	0x455590	443	2	swap (2-cycle)	n/a	identifiers-differ	-0xc->-0x10 -0x10->-0xc
SOURCE/ADVMGR	?SaveAdventureBorder@advManager@@QAEXXZ	0x69976	0x4563a0	325	3	3-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/ADVMGR	?DrawAdventureBorder@advManager@@QAEXXZ	0x69abb	0x4564f0	308	3	3-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/ADVMGR	?ComputeAdvNetControl@@YIXXZ	0x69fc2	0x456a10	293	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x8->-0xc -0xc->-0x8
SOURCE/ADVMGR	?SystemOptions@advManager@@QAEXXZ	0x6b082	0x457b20	407	3	reshuffle (uses unreferenced slots)	n/a	unproven	-0x20->-0x4 -0x24->-0x28 -0x28->-0x8
SOURCE/ADVMGR	?UpdateSystemOptions@@YIXH@Z	0x6b219	0x457cc0	863	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x14->-0x18 -0x18->-0x1c -0x1c->-0x20 -0x20->-0x4
SOURCE/ADVMGR	?IsCrystalBallInEffect@advManager@@QAEHHHH@Z	0x6c241	0x458c60	215	3	3-cycle	n/a	identifiers-differ	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/ADVMGR	?StopOnTrigger@@YIEPAVmapCell@@@Z	0x6c318	0x458d40	133	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/AI	?GetShooterMask@combatManager@@QAEHH@Z	0xc26fa	0x46bf70	305	2	swap (2-cycle)	n/a	identifiers-differ	-0x8->-0xc -0xc->-0x8
SOURCE/AI	?GetMirrorImageMask@combatManager@@QAEHH@Z	0xc282b	0x46c0b0	192	2	swap (2-cycle)	n/a	identifiers-differ	-0x8->-0xc -0xc->-0x8
SOURCE/AI	?GetFlyerMask@combatManager@@QAEHH@Z	0xc28eb	0x46c170	287	2	swap (2-cycle)	n/a	identifiers-differ	-0x8->-0xc -0xc->-0x8
SOURCE/AI	?GetAllMask@combatManager@@QAEHH@Z	0xc2a0a	0x46c290	192	2	swap (2-cycle)	n/a	identifiers-differ	-0x8->-0xc -0xc->-0x8
SOURCE/AI	?GetWalkerMask@combatManager@@QAEHH@Z	0xc2aca	0x46c350	321	2	swap (2-cycle)	n/a	identifiers-differ	-0x8->-0xc -0xc->-0x8
SOURCE/AI	?GetOutOfItMask@combatManager@@QAEHH@Z	0xc2c0b	0x46c4a0	233	2	swap (2-cycle)	n/a	identifiers-differ	-0x8->-0xc -0xc->-0x8
SOURCE/AI	?GetTraitorMask@combatManager@@QAEHH@Z	0xc2cf4	0x46c590	214	2	swap (2-cycle)	n/a	identifiers-differ	-0x8->-0xc -0xc->-0x8
SOURCE/AI	?GetBestArmy@combatManager@@QAEHHH@Z	0xc2dca	0x46c670	497	2	swap (2-cycle)	n/a	identifiers-differ	-0xc->-0x14 -0x14->-0xc
SOURCE/AI	?GetWorstArmy@combatManager@@QAEHHH@Z	0xc2fbb	0x46c870	194	2	swap (2-cycle)	n/a	identifiers-differ	-0xc->-0x14 -0x14->-0xc
SOURCE/AI	?GetClosestArmy@combatManager@@QAEHPAVarmy@@HH@Z	0xc307d	0x46c940	367	4	multi-cycle 2+2	n/a	unproven	-0x4->-0x8 -0x8->-0x4 -0xc->-0x14 -0x14->-0xc
SOURCE/AI	?GetStrength@combatManager@@QAEKHH@Z	0xc31ec	0x46cab0	193	2	swap (2-cycle)	n/a	identifiers-differ	-0x4->-0xc -0xc->-0x4
SOURCE/AI	?AttemptAdjacentAttack@combatManager@@QAEHPAVarmy@@@Z	0xc3468	0x46cd40	386	5	reshuffle (uses unreferenced slots)	n/a	unproven	-0x8->-0x14 -0xc->-0x4 -0x10->-0x18 -0x14->-0x10 -0x18->-0x8
SOURCE/AI	?WalkTowardArmyFront@combatManager@@QAEHPAVarmy@@HH@Z	0xc35ea	0x46ced0	576	5	5-cycle	n/a	identifiers-differ	-0x4->-0x10 -0x8->-0xc -0xc->-0x14 -0x10->-0x8 -0x14->-0x4
SOURCE/AI	?WalkTowardArmy@combatManager@@QAEHPAVarmy@@HH@Z	0xc382a	0x46d110	580	6	reshuffle (uses unreferenced slots)	n/a	identifiers-differ	-0x4->-0x1c -0x8->-0x14 -0xc->-0x18 -0x10->-0x8 -0x14->-0x10 -0x18->-0x4
SOURCE/ARMY	?LoadResources@army@@QAEXXZ	0x4aec8	0x47b160	1190	1	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x14->-0x4
SOURCE/ARMY	?Damage@army@@QAEHJH@Z	0x5012e	0x480780	572	2	swap (2-cycle)	n/a	unproven	-0x4->-0xc -0xc->-0x4
SOURCE/ARMY	?PowEffect@army@@QAEXHHHH@Z	0x5036a	0x4809c0	4961	16	multi-cycle 14+2	n/a	unproven	-0x4->-0x18 -0x8->-0x34 -0xc->-0x3c -0x10->-0x2c -0x14->-0x4 -0x18->-0x20 -0x1c->-0x24 -0x20->-0x28 -0x24->-0x10 -0x28->-0x1c -0x2c->-0x8 -0x30->-0x38 -0x34->-0xc -0x38->-0x30 -0x3c->-0x40 -0x40->-0x14
SOURCE/ARMY	?SpellEffect@army@@QAEXHHH@Z	0x51b5b	0x4821e0	925	6	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x14 -0x10->-0xc -0x14->-0x4 -0x18->-0x20 -0x1c->-0x18 -0x20->-0x1c
SOURCE/ARMY	?MoveAttack@army@@QAEXHH@Z	0x52ad9	0x483190	1009	4	multi-cycle 2+2	n/a	unproven	-0x4->-0xc -0xc->-0x4 -0x10->-0x14 -0x14->-0x10
SOURCE/ARMY	?OtherArmyAdjacent@army@@QAEHHH@Z	0x53fa6	0x4846b0	369	6	multi-cycle 3+3	n/a	unproven	-0x4->-0x10 -0x8->-0xc -0xc->-0x14 -0x10->-0x18 -0x14->-0x8 -0x18->-0x4
SOURCE/ARMYGRP	?GetMorale@armyGroup@@QAEHPAVhero@@PAVtown@@PAV1@@Z	0x8c17a	0x46eed0	589	5	5-cycle	n/a	unproven	-0x4->-0x10 -0xc->-0x14 -0x10->-0xc -0x14->-0x18 -0x18->-0x4
SOURCE/ARMYGRP	?IsHomogeneous@armyGroup@@QAEHH@Z	0x8c44b	0x46f1b0	334	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x10 -0x10->-0x4
SOURCE/ARMYGRP	?DamageGroup@armyGroup@@QAEXM@Z	0x8c7d2	0x46f560	333	5	multi-cycle 3+2	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x4->-0x14 -0x8->-0x10 -0xc->-0x4 -0x10->-0x8 -0x14->-0xc
SOURCE/CMBTMGR	?Open@combatManager@@UAEHH@Z	0x90aa0	0x4751c0	1087	3	3-cycle	n/a	unproven	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/CMBTMGR	?Close@combatManager@@UAEXXZ	0x90edf	0x475600	982	2	swap (2-cycle)	n/a	unproven	-0x8->-0xc -0xc->-0x8
SOURCE/CMBTMGR	?GenerateMap@combatManager@@QAEXXZ	0x91641	0x475d70	869	3	reshuffle (uses unreferenced slots)	n/a	reorder-reachable	-0x8->-0x4 -0xc->-0x8 -0x10->-0xc
SOURCE/CMBTMGR	?LoadArmies@combatManager@@QAEXXZ	0x922e5	0x476a50	877	3	3-cycle	n/a	unproven	-0x4->-0x8 -0x8->-0xc -0xc->-0x4
SOURCE/CMBTMGR	?GetGridIndex@combatManager@@QAEHHH@Z	0x9272d	0x476ea0	482	7	7-cycle	n/a	identifiers-differ	-0x4->-0x1c -0x8->-0xc -0xc->-0x14 -0x10->-0x18 -0x14->-0x4 -0x18->-0x8 -0x1c->-0x10
SOURCE/CMBTMGR	?CheckApplyGoodMorale@combatManager@@QAEXHH@Z	0x9290f	0x477090	491	3	3-cycle	n/a	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/CMBTMGR	?CheckApplyBadMorale@combatManager@@QAEHHH@Z	0x92afa	0x477280	461	3	3-cycle	n/a	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/CMBTMGR	?GetNextArmy@combatManager@@QAEHH@Z	0x92cc7	0x477450	898	7	7-cycle	n/a	unproven	-0x4->-0x10 -0x8->-0x4 -0xc->-0x18 -0x10->-0x14 -0x14->-0xc -0x18->-0x20 -0x20->-0x8
SOURCE/CMBTMGR	?IsWinner@combatManager@@QAEHH@Z	0x93049	0x4777e0	214	2	swap (2-cycle)	n/a	identifiers-differ	-0x4->-0x8 -0x8->-0x4
SOURCE/CMBTMGR	?MakeCreaturesVanish@combatManager@@QAEXXZ	0x94fb9	0x4796f0	673	6	6-cycle	n/a	unproven	-0x4->-0x1c -0x8->-0xc -0xc->-0x10 -0x10->-0x18 -0x18->-0x4 -0x1c->-0x8
SOURCE/CMBTMGR	?LowerDoor@combatManager@@QAEXXZ	0x9525a	0x4799a0	189	3	3-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/COMMAND	?Main@combatManager@@UAEHAAUtag_message@@@Z	0x2a6d0	0x43b090	877	2	swap (2-cycle)	n/a	unproven	-0x8->-0xc -0xc->-0x8
SOURCE/COMMAND	?GetPointer@combatManager@@QAEHHH@Z	0x2ba9b	0x43c470	139	2	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x8->-0x4 -0xc->-0x8
SOURCE/COMMAND	?GetCommand@combatManager@@QAEHH@Z	0x2c8ff	0x43d2f0	1306	6	multi-cycle 4+2	n/a	unproven	-0x4->-0xc -0xc->-0x10 -0x10->-0x14 -0x14->-0x4 -0x18->-0x1c -0x1c->-0x18
SOURCE/COMMAND	?RightClick@combatManager@@QAEHH@Z	0x2ce19	0x43d810	678	2	swap (2-cycle)	n/a	reorder-reachable	-0xc->-0x10 -0x10->-0xc
SOURCE/COMMAND	?WinCombatHandler@@YIHAAUtag_message@@@Z	0x2d472	0x43de80	1403	3	reshuffle (uses unreferenced slots)	n/a	unproven	-0x48->-0x4c -0x4c->-0x50 -0x50->-0x24
SOURCE/COMMAND	?ShowWinLoseArtifact@combatManager@@QAEXPAVheroWindow@@H@Z	0x2dafd	0x43e510	666	8	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x30 -0x8->-0x10 -0x10->-0x14 -0x20->-0x24 -0x24->-0x28 -0x28->-0x2c -0x2c->-0x4 -0x30->-0x8
SOURCE/COMMAND	?ShowSkeletons@combatManager@@QAEXPAVheroWindow@@@Z	0x2dd97	0x43e7b0	562	7	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x28 -0x8->-0xc -0x18->-0x1c -0x1c->-0x20 -0x20->-0x24 -0x24->-0x4 -0x28->-0x8
SOURCE/COMMAND	?ShowEagleEyeSpell@combatManager@@QAEXPAVheroWindow@@@Z	0x2dfc9	0x43e9f0	758	10	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x34 -0x8->-0x14 -0x18->-0x24 -0x1c->-0x28 -0x20->-0x2c -0x24->-0x8 -0x28->-0xc -0x2c->-0x4 -0x30->-0x10 -0x34->-0x30
SOURCE/COMMAND	?DoVictory@combatManager@@QAEXH@Z	0x2ec8b	0x43f6e0	2985	15	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x14 -0x8->-0xc -0xc->-0x30 -0x10->-0x1c -0x14->-0x34 -0x24->-0x44 -0x28->-0x48 -0x2c->-0x4c -0x30->-0x8 -0x34->-0x20 -0x3c->-0x28 -0x40->-0x10 -0x44->-0x24 -0x48->-0x4 -0x4c->-0x18
SOURCE/COMMAND	?DoLoseWindow@combatManager@@QAEXXZ	0x2f834	0x440290	956	7	reshuffle (uses unreferenced slots)	n/a	unproven	-0x34->-0x58 -0x38->-0xc -0x48->-0x1c -0x4c->-0x20 -0x50->-0x24 -0x54->-0x4 -0x58->-0x8
SOURCE/COMMAND	?DoSurrender@combatManager@@QAEHXZ	0x2fbf0	0x440650	1085	9	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x8 -0x8->-0x4 -0xc->-0x14 -0x1c->-0x24 -0x20->-0x28 -0x24->-0x2c -0x28->-0x10 -0x2c->-0x30 -0x30->-0xc
SOURCE/COMMAND	?ResetMouse@combatManager@@QAEXXZ	0x3045f	0x440ed0	215	7	reshuffle (uses unreferenced slots)	n/a	unproven	-0x8->-0x10 -0xc->-0x14 -0x14->-0x1c -0x18->-0x20 -0x1c->-0x24 -0x20->-0x4 -0x24->-0x8
SOURCE/COMMAND	?ResetCyclingCreatures@combatManager@@QAEXXZ	0x30b91	0x441610	567	4	reshuffle (uses unreferenced slots)	n/a	unproven	-0x4->-0x8 -0x8->-0x14 -0xc->-0x4 -0x10->-0xc
SOURCE/COMMAND	?ResetCycleTimers@combatManager@@QAEXXZ	0x30dc8	0x441850	249	3	3-cycle	n/a	unproven	-0x4->-0x10 -0xc->-0x4 -0x10->-0xc
SOURCE/COMMAND	?AddArmy@combatManager@@QAEXHHHHHH@Z	0x31a0b	0x4424b0	939	4	4-cycle	n/a	identifiers-differ	-0x4->-0x10 -0x8->-0xc -0xc->-0x4 -0x10->-0x8
SOURCE/CURSOR	?ProcessIncomingGroupMapChange@advManager@@QAEXPAD@Z	0x10a5b	0x4c2e60	206	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x8->-0x10 -0x10->-0x8
SOURCE/CURSOR	?UnwindMapChangeQueue@advManager@@QAEXHH@Z	0x10b9e	0x4c2fb0	468	6	6-cycle	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x10 -0x8->-0x18 -0xc->-0x4 -0x10->-0x8 -0x14->-0xc -0x18->-0x14
