unit	name	pol_rva	gold_va	size	moved	shape	witness	verdict	remap
SOURCE/Newgame	?ShowScenInfo@game@@QAEXXZ	0xba39c	0x45dc50	2929	18	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x20 -0x8->-0x18 -0xc->-0x10 -0x10->-0x14 -0x14->-0x4 -0x18->-0x24 -0x1c->-0x30 -0x2c->-0x40 -0x30->-0x44 -0x34->-0x48 -0x38->-0x28 -0x3c->-0x8 -0x40->-0x1c -0x44->-0x2c -0x48->-0xc -0x4c->-0x54 -0x50->-0x4c -0x54->-0x50
SOURCE/Newgame	?GetLossConditionText@game@@QAEXPAD@Z	0xbaf0d	0x45e7d0	455	4	4-cycle	n/a	identifiers-differ	-0x8->-0xc -0xc->-0x10 -0x10->-0x14 -0x14->-0x8
SOURCE/Newgame	?GetSideDesc@game@@QAEHPADHH@Z	0xbb3cf	0x45eca0	679	7	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x64->-0x7c -0x68->-0x18 -0x6c->-0x10 -0x74->-0x8 -0x78->-0x14 -0x7c->-0x4 -0x80->-0xc
SOURCE/Overview	?SetupResources@game@@QAEXXZ	0x9e05	0x4624f0	132	5	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x14->-0x18 -0x18->-0x1c -0x1c->-0x20 -0x20->-0x4
SOURCE/PATH	?FindPath@army@@QAEHHHHHH@Z	0xbdbf0	0x405db0	330	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0x4
SOURCE/PATH	?ValidPath@army@@QAEHHH@Z	0xbdd3a	0x405f00	154	1	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x4->-0x8
SOURCE/PATH	?GetMoveMask@army@@QAEHH@Z	0xbddd4	0x405fa0	109	3	3-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/PATH	?GetAttackMask@army@@QAEHHHH@Z	0xbde41	0x406010	181	5	5-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x14 -0x8->-0xc -0xc->-0x10 -0x10->-0x4 -0x14->-0x8
SOURCE/PATH	?ValidMove@army@@QAEHHH@Z	0xbdf21	0x406100	758	4	multi-cycle 2+2	n/a	identifiers-differ	-0x4->-0x8 -0x8->-0x4 -0xc->-0x10 -0x10->-0xc
SOURCE/PATH	?ValidRange@army@@QAEHH@Z	0xbe59d	0x4067a0	1098	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0x4
