source_sha256	shape	match_percent	candidate_size/frame_bytes	relocs_base/retail	disposition
6c2a1a336f9df7a014b01cd633483d09e7b572a714ae42b96abbbf27c494b8b3	direct_clipw_and_global_fill_count	89.11528	0x567/0	145/144	reverted
b773d80c79a05cd9347a21b3e9a5080a116730432e690f9f4179847e7e92f521	direct_clipw_current_checkpoint	89.101875	0x57a/4	143/144	reverted
38406a1fa7df977bce681d367f51fd1e8f6fe95b44336c69351d6fb5f8b0490b	function_scope_fill_count	89.47721	0x57a/4	143/144	byte_identical_reverted
66144286c75111c1de501c3a1e08357831858f4bee355e8c34a46762d4a01dd1	const_reference_clip_width	88.43163	0x57a/4	143/144	reverted
22d1e30f78e5b5d0f32ce7401f401e07a35042c87642c490e97f4e9a0f51ca3f	clip_width_declared_after_current_y	89.47721	0x57a/4	143/144	byte_identical_reverted
69d34547b886503aee3cd97451a446527d84fd2ed679044fbb603f40f5ec94b5	publish_clip_right_before_initial_shear	87.7319	0x57b/4	143/144	reverted
d20712c2e1e836a2161ff93a7ed7db51bc04e2257aeb3ec2a1d03e0880ab4578	branch_local_fill_count_after_vertical_gate	90.402145	0x57a/4	143/144	superseded_checkpoint
42bdba42bdbe4f9a4c0f9499c050565a7b591b10464de1f345ae92f5ea064c16	branch_local_fill_count_with_global_memset_count	88.793564	0x563/0	143/144	reverted
4c627b412e2f71e945c535b0a5ad3d6efe8e347a33454469abee038e1df583a1	signed_branch_local_fill_count_after_vertical_gate	89.08847	0x567/0	144/144	reverted
6d6c6360d02723d4f91cd541c0a0c274316512856cb766d2f056cff8e3579bac	direct_clipw_after_branch_local_fill_recovery	90.02681	0x57a/4	143/144	reverted
f3c80ffa9a19995f90dab8b5ff2925f5a625a5c78a16e2b15b6a09ecc0777453	publish_right_dim_length_before_pending_skip	88.75335	0x57d/4	143/144	reverted
377baa7114408ef2a32d879116f7ad011e8d3a0e1b58197e72bcf4f111ec1267	named_fill_left_after_branch_local_count	90.02681	0x57a/4	143/144	reverted
f90a57a23de67d38e8dbe925b2c72acd408ccb799b50fff4bd8ff0e5bf1888c4	register_branch_local_fill_count	90.402145	0x57a/4	143/144	byte_identical_reverted
b73d1a4b93ea7a10b21125d1285f456d58e74e0ed64f872e7d2349532bdd2425	full_fill_only_count_snapshot	89.08847	0x567/0	144/144	reverted
4e91d844f66c5f7249da1df748a61e927c46fa8de88b75e8b0bdf087292da78c	unsigned_global_run_after_branch_local_recovery	87.07775	0x561/0	141/144	reverted
8e6a70ba2452a93d8aa8f5ed88f8fe0454fe69c5e0bd4a49aac2c5f5355c3f84	static_scratch_first_use_order	91.89008	0x583/4	143/144	superseded_checkpoint
d3d9be1ae6aa25a7dd8a57dc5c9d27a36b0b4d8a15718cd823f28e1b39a22da1	static_scratch_sibling_icon2by_order	91.675606	0x583/4	144/144	reverted
93488fcdb64c94115f35fa6dee79f5dc1af24b77f1301e27678b54e3642fd30f	function_local_static_scratch_first_use_order	90.99196	0x583/4	143/144	reverted
2b0356603646b9c70bc95557ec802776f0d496bee087cf5877e6467e82130721	late_clip_width_declaration_after_first_use_scratch_order	91.89008	0x583/4	143/144	byte_identical_reverted
f33ab84fe5e3b9205e40ae09de314bced82063fe587bddee30646c73d44bfea0	first_use_scratch_with_clipr_last	93.72654	0x58c/4	144/144	retained
31a2d93fa3334cdfc1e74f10644755111874e1b7156f7a71127033b8b75a306a	first_use_scratch_with_y_and_clipr_last	91.675606	0x583/4	144/144	reverted
c8d4ded2dd032891b8a3c46ce4cf2275ca74224fcac05b41e18ef0816ef7ca71	first_use_scratch_with_run_and_clipr_last	93.72654	0x58c/4	144/144	byte_identical_reverted
5c8bdc2d538e5b05745044dfd563c8bffbd065b65a4203a557a0c2aa4c738ddd	first_use_scratch_with_xend_first_and_clipr_last	93.72654	0x58c/4	144/144	byte_identical_reverted
