id	path	va	casts	address	outside	reviewed_body_sha256	evidence	baseline_body_sha256
src/BASE/iconf2bc.cpp:FlipIconToBitmapColorTable(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color,u8 * colorTable)#1	src/BASE/iconf2bc.cpp	0x004d4960	pending	pending	pending			82848ebb8d12c2202666ea5c993c5451eeef3642706a4aea7d7bb358f57ce96b
src/BASE/iconf2by.cpp:FlipIconToBitmapYModify(class icon * srcIcon,class bitmap * dest,i32 x,i32 y,i32 frame,IconDrawClipMode clip,i32 clipX,i32 clipY,i32 clipW,i32 clipH,i32 color,i8 * shear)#1	src/BASE/iconf2by.cpp	0x004d5270	pending	pending	pending			3747a1e500fde0ac5894568cc7ee68f7e57e0b03006135fdf4b2ad3d89f92030
src/SOURCE/ADVMGR.cpp:ComputeAdvNetControl(void)#1	src/SOURCE/ADVMGR.cpp	0x00413a54			pending			103187fc0000506013688534a5875738de1014d4646d9f86fd952b09c52679f8
src/SOURCE/ADVMGR.cpp:GetHeroSlot(i32 i)#1	src/SOURCE/ADVMGR.cpp				pending			406167259f5cdc97a041bc3efeba24297945e180b3c30619b7b4085c6bed9931
src/SOURCE/ADVMGR.cpp:MapExtraPosAndAdjacentsSet(i32 x,i32 y,u8 mask)#1	src/SOURCE/ADVMGR.cpp	0x00413b4d			pending			dc65e9e5138381740e9adab143dd11f4b3e16ab5c44de0e400c5d12b8d95a651
src/SOURCE/ADVMGR.cpp:SystemOptionsHandler(struct tag_message & message)#1	src/SOURCE/ADVMGR.cpp	0x00414e82	pending					2071aad61ff2b1d24939dead5e430400862ebd1caa16d40fe9bf3bf73639f233
src/SOURCE/ADVMGR.cpp:UpdateSystemOptions(i32 initialDraw)#1	src/SOURCE/ADVMGR.cpp	0x00414b62	pending					21968059c80bbb278dc86af323e63c2983e60bf426d2412bc3b23caf852f7c07
src/SOURCE/ADVMGR.cpp:advManager::CheckHandleNet(void)#1	src/SOURCE/ADVMGR.cpp	0x00412e8c	pending					dee86928b74d26ebc92f8e89dcbe6bcfd355138cd2427c8c77ab476e6bbe8e26
src/SOURCE/ADVMGR.cpp:advManager::ComboDraw(i32 originX,i32 originY,i32 animate)#1	src/SOURCE/ADVMGR.cpp	0x0040f30a			pending			c8dc08b71644dd874b861b234211624423295568c0e08e0ee16b781e80370c66
src/SOURCE/ADVMGR.cpp:advManager::ProcessDeSelect(struct tag_message * message,i32 * result,class mapCell ** eventCell)#1	src/SOURCE/ADVMGR.cpp	0x00404308	pending					38cd13a8d32275394379beac49ae84144ced1a926686bed4187c0f6d1341ccfb
src/SOURCE/ADVMGR.cpp:advManager::QuickInfo(i32 cellX,i32 cellY)#1	src/SOURCE/ADVMGR.cpp	0x00409363	pending					6b49adb067feaf21ac320c06c6aa5313b770fef83b4ff0f07fd1660016042762
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewEnemyTurn(void)#1	src/SOURCE/ADVMGR.cpp	0x0040ad72	pending					f5e391a15665b4da40f9f9b3779e95bf9624dc46cb812e51f824233a79a83a1e
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewHero(void)#1	src/SOURCE/ADVMGR.cpp	0x0040bd33	pending					b8b3b9d712a0229e9ec1d7db6b9546578006546f1b821839420eb1e41054499e
src/SOURCE/ADVMGR.cpp:advManager::UpdateRadar(i32 updateScreen,i32 partial)#1	src/SOURCE/ADVMGR.cpp	0x004084ac			pending			93f7e8ed1e537fbaa44b4518a5c21cda8289139e2fdfb06443ad0890a157df8c
src/SOURCE/ARMY.cpp:BuildTempWalkSeq(struct SMonFrameInfo * frameInfo,i32 finishStanding,i32 skipDrawing)#1	src/SOURCE/ARMY.cpp	0x00420d33			pending			fc463ca8df95a2c5cde8d7c98eac1eb72698635bfd2b4075012d50193757876e
src/SOURCE/ARMY.cpp:army::CancelIndividualSpell(ArmySpellInfluence influence)#1	src/SOURCE/ARMY.cpp	0x0041f943	pending					1e3630e69af19d00343a25a250d2610c46900ee702de32a25af65fac4f1e647a
src/SOURCE/ARMY.cpp:army::Damage(i32l damage,SpellType spell)#1	src/SOURCE/ARMY.cpp	0x0041dd32	pending					b7c87673ea44ae8895ec4d991f8aed5ed081070a22f7f296e7bf96320c30c373
src/SOURCE/ARMY.cpp:army::DoHydraAttack(i32)#1	src/SOURCE/ARMY.cpp	0x0041b858	pending					461a2c625fa39fd202b7fffe2eeb84d1fdd5b2b756ce199bd9238cb4b6ff173f
src/SOURCE/ARMY.cpp:army::DrawToBuffer(i32 x,i32 y,i32 effectsOnly)#1	src/SOURCE/ARMY.cpp	0x00419095	pending					bd0ed60050221a2c0064473338674e1626077e50e47944f5d7a223829e7917d3
src/SOURCE/ARMY.cpp:army::Init(CreatureType monsterType,i32 quantity,CombatSide side,i32 index,i32 hex,i32 unknown)#1	src/SOURCE/ARMY.cpp	0x004187f1	pending					ad5b9721891113ed5addde99a8ebbd5bde6adcdc50bc7f9a1d44de6dcfef2918
src/SOURCE/ARMY.cpp:army::SetSpellInfluence(ArmySpellInfluence influence,i32 rounds)#1	src/SOURCE/ARMY.cpp	0x0041fa5f	pending					fa5692b1e595e06bd38562931aa2658d62634138f9d7be764ee3b98862d5fbf7
src/SOURCE/CMBTMGR.cpp:combatManager::LoadIcons(void)#1	src/SOURCE/CMBTMGR.cpp	0x00427a8b	pending					f4305cda8cb00b5dfb91c9fdcdce53f4cbf028956e627ce687ee3513ead2fbaa
src/SOURCE/CMBTMGR.cpp:combatManager::SetupAndLoadObstacles(void)#1	src/SOURCE/CMBTMGR.cpp	0x0042a1c4			pending			f58a91d3503b01011d01b9968ba59e06581ac9d861f72b2fbda00e24b3d39913
src/SOURCE/CMBTMGR.cpp:combatManager::SetupCombat(i32 mapX,i32 mapY,hero * attackerHero,armyGroup * attackerGroup,town * defenderTown,hero * defenderHero,armyGroup * defenderGroup,i32 combatX,i32 combatY,i32 randomSeed)#1	src/SOURCE/CMBTMGR.cpp	0x00426089	pending					789894b017b02a20dbc0e7c721cccf5d830478b7dd8d65125e5bc38be001b09e
src/SOURCE/Campaign.cpp:CampaignHandler(struct tag_message & message)#1	src/SOURCE/Campaign.cpp	0x004233b8			pending			2dc4e77ca47616770a0830d1442368b528369d47976ceeb35d4e4824d59de925
src/SOURCE/Campaign.cpp:game::CampaignInfoUpdate(i32 redraw)#1	src/SOURCE/Campaign.cpp	0x00422adc			pending			54354137dafba20dbcea2800cfdd54e265065a8f33f6fe7dc2f99bdd70f9ecfd
src/SOURCE/Campaign.cpp:game::InitCampaignMap(void)#1	src/SOURCE/Campaign.cpp	0x0042387e			pending			bd664a352bb14b066f26763503db95f322a45d639a31b4b06ae4460b50f43219
src/SOURCE/Campaign.cpp:game::InitEntireCampaign(CampaignSide side)#1	src/SOURCE/Campaign.cpp	0x00423842			pending			2094baa2c10e6fb1b749874e871b631ffa98dff208530d72e1e038deff9699b0
src/SOURCE/EVENTS.cpp:advManager::DoAIEvent(mapCell * cell,hero * eventHero,i32 x,i32 y)#1	src/SOURCE/EVENTS.cpp	0x00444d73		pending				a1c90ff3bc802f2ffef1bb770822dac1ddfab0e38593f949da3c10268c4fcff7
src/SOURCE/GAME.cpp:CheckValidAvailableHeroes(void)#1	src/SOURCE/GAME.cpp	0x004607ea	pending					bf7e3ec63a9d4ff8b124c1832999fe801f00116392fa5b9fe9c78f476c8cfb11
src/SOURCE/GAME.cpp:CreateDiffFile(char * oldName,char * joinName,char * diffName,i32 remotePlayer,i32 forceWhole)#1	src/SOURCE/GAME.cpp	0x0045f47a			pending			6dc8ed35a5ed6a1807b011e68c4943c741f2e8b7d4718421926d1add627d8b3d
src/SOURCE/GAME.cpp:CreateJoinFile(char * oldName,char * diffName,char * joinName)#1	src/SOURCE/GAME.cpp	0x0045f9cd			pending			4e7772572104e9d1abeccb4aae297cd6789ea2232cf3af885e4aaf4966a523b7
